epoch,train_loss,val_acc,val_auc,val_ap,weights_changed_pct
1,0.177465,0.470370,0.431343,0.472567,99.7864
2,0.176223,0.477778,0.446285,0.483455,99.8951
3,0.175339,0.503704,0.483486,0.514574,99.9372
4,0.174047,0.524074,0.524094,0.552198,99.9616
5,0.172181,0.561111,0.576718,0.605299,99.9758
6,0.171329,0.588889,0.626251,0.651453,99.9829
7,0.169614,0.620370,0.664744,0.683245,99.9872
8,0.166964,0.640741,0.697139,0.710128,99.9893
9,0.163779,0.650000,0.716832,0.724112,99.9911
10,0.163255,0.664815,0.741166,0.743371,99.9917
11,0.162171,0.668519,0.756657,0.757361,99.9923
12,0.160989,0.685185,0.768014,0.764582,99.9927
13,0.158919,0.692593,0.779357,0.774126,99.9929
14,0.157069,0.700000,0.783587,0.777082,99.9930
15,0.157791,0.690741,0.786265,0.778133,99.9933
16,0.155805,0.709259,0.789725,0.779709,99.9933
17,0.154553,0.720370,0.797841,0.786634,99.9938
18,0.155853,0.722222,0.803705,0.793470,99.9933
19,0.153692,0.727778,0.803472,0.790797,99.9936
20,0.153550,0.707407,0.803458,0.791419,99.9936
21,0.153290,0.701852,0.806342,0.793505,99.9936
22,0.152968,0.727778,0.806932,0.794950,99.9936
23,0.153649,0.729630,0.805133,0.792357,99.9938
24,0.152245,0.725926,0.805559,0.792845,99.9939
25,0.153321,0.729630,0.804103,0.791594,99.9938
