epoch,train_loss,val_acc,val_auc,val_ap,weights_changed_pct
1,0.177682,0.462963,0.422486,0.465341,0.1591
2,0.177159,0.453704,0.418902,0.461592,0.1601
3,0.177410,0.459259,0.424793,0.466562,0.1612
4,0.177677,0.461111,0.422843,0.465267,0.1624
5,0.178177,0.459259,0.421772,0.463962,0.1635
6,0.178847,0.457407,0.421648,0.463994,0.1641
7,0.179156,0.459259,0.422129,0.464556,0.1644
8,0.177675,0.462963,0.421497,0.464332,0.1647
9,0.177182,0.451852,0.416842,0.460189,0.1648
10,0.177320,0.461111,0.421305,0.463984,0.1648
11,0.178199,0.466667,0.420824,0.463503,0.1649
12,0.178088,0.459259,0.420474,0.463496,0.1649
13,0.178514,0.468519,0.423282,0.465617,0.1649
14,0.176677,0.461111,0.420591,0.463641,0.1649
15,0.178616,0.451852,0.416155,0.459795,0.1649
16,0.177869,0.453704,0.414610,0.459065,0.1649
17,0.177469,0.457407,0.421401,0.463692,0.1649
18,0.178201,0.461111,0.421813,0.463920,0.1649
19,0.177776,0.468519,0.424285,0.465785,0.1649
20,0.178144,0.462963,0.420920,0.463644,0.1649
21,0.177105,0.455556,0.420756,0.463499,0.1649
22,0.178087,0.457407,0.420920,0.463756,0.1649
23,0.177925,0.455556,0.418229,0.460626,0.1649
24,0.176125,0.455556,0.421731,0.464073,0.1649
25,0.177759,0.453704,0.419382,0.462697,0.1649
