epoch,train_loss,val_acc,val_auc,val_ap,weights_changed_pct
1,0.177664,0.464815,0.423310,0.465979,88.2227
2,0.177068,0.464815,0.421511,0.463923,96.0906
3,0.177190,0.457407,0.430149,0.470549,99.3007
4,0.177264,0.462963,0.431838,0.472000,99.6801
5,0.177462,0.472222,0.435710,0.474601,99.8004
6,0.177900,0.475926,0.441066,0.479266,99.8475
7,0.177919,0.481481,0.446559,0.483943,99.8710
8,0.176269,0.477778,0.451805,0.488440,99.8847
9,0.175418,0.481481,0.450995,0.486645,99.8950
10,0.175445,0.492593,0.460828,0.496060,99.9012
11,0.176036,0.492593,0.463409,0.498245,99.9066
12,0.175837,0.488889,0.467735,0.501766,99.9106
13,0.175948,0.500000,0.474725,0.507257,99.9137
14,0.174100,0.498148,0.474038,0.507129,99.9165
15,0.175873,0.490741,0.471834,0.504357,99.9176
16,0.174974,0.494444,0.473228,0.505957,99.9195
17,0.174460,0.487037,0.481742,0.513164,99.9205
18,0.175245,0.503704,0.485752,0.515989,99.9205
19,0.174628,0.498148,0.489570,0.519112,99.9202
20,0.174991,0.500000,0.485176,0.516237,99.9203
21,0.174069,0.509259,0.486727,0.516433,99.9205
22,0.174868,0.501852,0.486370,0.517576,99.9204
23,0.174794,0.494444,0.483596,0.512952,99.9203
24,0.173032,0.490741,0.486920,0.516762,99.9202
25,0.174632,0.505556,0.485752,0.516300,99.9202
