epoch,train_loss,val_acc,val_auc,val_ap,weights_changed_pct
1,0.177682,0.462963,0.422486,0.465341,1.3756
2,0.177159,0.453704,0.418902,0.461598,2.3124
3,0.177410,0.459259,0.424793,0.466562,3.3958
4,0.177677,0.461111,0.422843,0.465267,4.5557
5,0.178177,0.459259,0.421786,0.463967,5.5826
6,0.178847,0.457407,0.421634,0.463989,6.2754
7,0.179155,0.459259,0.422170,0.464623,6.6970
8,0.177674,0.462963,0.421504,0.464350,6.9173
9,0.177181,0.451852,0.416883,0.460214,7.0507
10,0.177319,0.461111,0.421360,0.464017,7.1135
11,0.178198,0.466667,0.420824,0.463503,7.1522
12,0.178087,0.459259,0.420467,0.463496,7.1691
13,0.178512,0.468519,0.423324,0.465636,7.1748
14,0.176675,0.461111,0.420632,0.463657,7.1756
15,0.178614,0.451852,0.416196,0.459811,7.1758
16,0.177867,0.453704,0.414590,0.459060,7.1759
17,0.177467,0.457407,0.421456,0.463713,7.1759
18,0.178199,0.461111,0.421840,0.463931,7.1759
19,0.177774,0.468519,0.424285,0.465805,7.1759
20,0.178142,0.462963,0.420962,0.463678,7.1759
21,0.177104,0.455556,0.420824,0.463521,7.1759
22,0.178085,0.457407,0.420962,0.463784,7.1759
23,0.177923,0.455556,0.418242,0.460634,7.1759
24,0.176123,0.455556,0.421744,0.464079,7.1759
25,0.177757,0.453704,0.419424,0.462732,7.1759
